STATE,NATIONAL HIGHWAY SYSTEM,,,,,,,,,"OTHER 
      FEDERAL-AID HIGHWAYS",,,"ALL 
      FEDERAL-AID HIGHWAYS ",,,"ALL 
      NON-FEDERAL-AID HIGHWAYS",,,UNKNOWN,TOTAL
Hawaii,-,6 ,6 ,12 ,48 ,60 ,12 ,54 ,66 ,1 ,26 ,27 ,13 ,80 ,93 ,-,1 ,1 ,-,94 
Idaho,34 ,4 ,38 ,38 ,8 ,46 ,72 ,12 ,84 ,45 ,19 ,64 ,117 ,31 ,148 ,33 ,2 ,35 ,33 ,216 
Illinois,47 ,77 ,124 ,80 ,198 ,278 ,127 ,275 ,402 ,202 ,232 ,434 ,329 ,507 ,836 ,90 ,72 ,162 ,-,998 
Indiana,56 ,39 ,95 ,68 ,50 ,118 ,124 ,89 ,213 ,280 ,101 ,381 ,404 ,190 ,594 ,119 ,108 ,227 ,-,821 
Iowa,21 ,14 ,35 ,52 ,14 ,66 ,73 ,28 ,101 ,115 ,38 ,153 ,188 ,66 ,254 ,42 ,24 ,66 ,-,320 
Kansas,20 ,14 ,34 ,79 ,11 ,90 ,99 ,25 ,124 ,112 ,36 ,148 ,211 ,61 ,272 ,65 ,18 ,83 ,-,355 
Kentucky,51 ,22 ,73 ,108 ,51 ,159 ,159 ,73 ,232 ,278 ,60 ,338 ,437 ,133 ,570 ,156 ,34 ,190 ,1 ,761 
Louisiana,38 ,60 ,98 ,35 ,117 ,152 ,73 ,177 ,250 ,177 ,152 ,329 ,250 ,329 ,579 ,104 ,36 ,140 ,7 ,726 
Maine,5 ,-,5 ,30 ,3 ,33 ,35 ,3 ,38 ,60 ,17 ,77 ,95 ,20 ,115 ,35 ,6 ,41 ,-,156 
Maryland,6 ,33 ,39 ,4 ,22 ,26 ,10 ,55 ,65 ,21 ,89 ,110 ,31 ,144 ,175 ,11 ,20 ,31 ,307 ,513 
Massachusetts,2 ,47 ,49 ,5 ,95 ,100 ,7 ,142 ,149 ,6 ,109 ,115 ,13 ,251 ,264 ,6 ,36 ,42 ,-,306 
Michigan,39 ,41 ,80 ,122 ,167 ,289 ,161 ,208 ,369 ,284 ,118 ,402 ,445 ,326 ,771 ,122 ,55 ,177 ,15 ,963 
Minnesota,14 ,15 ,29 ,58 ,39 ,97 ,72 ,54 ,126 ,144 ,67 ,211 ,216 ,121 ,337 ,58 ,14 ,72 ,2 ,411 
Mississippi,35 ,41 ,76 ,53 ,17 ,70 ,88 ,58 ,146 ,340 ,25 ,365 ,428 ,83 ,511 ,131 ,35 ,166 ,-,677 
Missouri,48 ,79 ,127 ,101 ,129 ,230 ,149 ,208 ,357 ,253 ,123 ,376 ,402 ,331 ,733 ,95 ,40 ,135 ,1 ,869 
Montana,29 ,2 ,31 ,46 ,8 ,54 ,75 ,10 ,85 ,85 ,2 ,87 ,160 ,12 ,172 ,39 ,12 ,51 ,1 ,224 
Nebraska ,19 ,3 ,22 ,53 ,20 ,73 ,72 ,23 ,95 ,66 ,28 ,94 ,138 ,51 ,189 ,35 ,22 ,57 ,-,246 
Nevada,25 ,24 ,49 ,44 ,66 ,110 ,69 ,90 ,159 ,29 ,99 ,128 ,98 ,189 ,287 ,7 ,25 ,32 ,6 ,325 
New Hampshire,3 ,10 ,13 ,12 ,8 ,20 ,15 ,18 ,33 ,31 ,21 ,52 ,46 ,39 ,85 ,20 ,9 ,29 ,-,114 
New Jersey,6 ,50 ,56 ,19 ,209 ,228 ,25 ,259 ,284 ,25 ,172 ,197 ,50 ,431 ,481 ,14 ,20 ,34 ,47 ,562 
New Mexico,48 ,22 ,70 ,38 ,21 ,59 ,86 ,43 ,129 ,34 ,57 ,91 ,120 ,100 ,220 ,39 ,19 ,58 ,20 ,298 
New York,34 ,49 ,83 ,96 ,108 ,204 ,130 ,157 ,287 ,146 ,216 ,362 ,276 ,373 ,649 ,174 ,298 ,472 ,-,"1,121 "
North Carolina,55 ,63 ,118 ,82 ,55 ,137 ,137 ,118 ,255 ,645 ,118 ,763 ,782 ,236 ,"1,018 ",128 ,232 ,360 ,1 ,"1,379 "
North Dakota,12 ,4 ,16 ,29 ,1 ,30 ,41 ,5 ,46 ,63 ,3 ,66 ,104 ,8 ,112 ,18 ,1 ,19 ,-,131 
Ohio,25 ,100 ,125 ,75 ,152 ,227 ,100 ,252 ,352 ,247 ,293 ,540 ,347 ,545 ,892 ,145 ,65 ,210 ,8 ,"1,110 "
Oklahoma ,37 ,47 ,84 ,70 ,35 ,105 ,107 ,82 ,189 ,227 ,105 ,332 ,334 ,187 ,521 ,57 ,65 ,122 ,-,643 
Oregon,30 ,6 ,36 ,99 ,60 ,159 ,129 ,66 ,195 ,134 ,62 ,196 ,263 ,128 ,391 ,50 ,5 ,55 ,1 ,447 
Pennsylvania,51 ,70 ,121 ,97 ,218 ,315 ,148 ,288 ,436 ,250 ,122 ,372 ,398 ,410 ,808 ,218 ,113 ,331 ,61 ,"1,200 "
Rhode Island,1 ,9 ,10 ,1 ,5 ,6 ,2 ,14 ,16 ,3 ,16 ,19 ,5 ,30 ,35 ,2 ,8 ,10 ,-,45 
South Carolina,92 ,30 ,122 ,64 ,69 ,133 ,156 ,99 ,255 ,446 ,166 ,612 ,602 ,265 ,867 ,97 ,13 ,110 ,-,977 
South Dakota,22 ,6 ,28 ,35 ,3 ,38 ,57 ,9 ,66 ,39 ,7 ,46 ,96 ,16 ,112 ,17 ,4 ,21 ,-,133 
Tennessee,55 ,87 ,142 ,80 ,168 ,248 ,135 ,255 ,390 ,198 ,171 ,369 ,333 ,426 ,759 ,146 ,51 ,197 ,2 ,958 
Texas,234 ,394 ,628 ,480 ,653 ,"1,133 ",714 ,"1,047 ","1,761 ",727 ,169 ,896 ,"1,441 ","1,216 ","2,657 ",52 ,-,52 ,807 ,"3,516 "
Utah,33 ,34 ,67 ,25 ,28 ,53 ,58 ,62 ,120 ,38 ,83 ,121 ,96 ,145 ,241 ,8 ,13 ,21 ,14 ,276 
Vermont,4 ,4 ,8 ,15 ,1 ,16 ,19 ,5 ,24 ,14 ,4 ,18 ,33 ,9 ,42 ,15 ,-,15 ,-,57 
Virginia,57 ,49 ,106 ,63 ,42 ,105 ,120 ,91 ,211 ,276 ,144 ,420 ,396 ,235 ,631 ,83 ,22 ,105 ,17 ,753 
Washington,26 ,44 ,70 ,36 ,8 ,44 ,62 ,52 ,114 ,177 ,196 ,373 ,239 ,248 ,487 ,49 ,29 ,78 ,3 ,568 
West Virginia,21 ,11 ,32 ,29 ,22 ,51 ,50 ,33 ,83 ,107 ,41 ,148 ,157 ,74 ,231 ,33 ,4 ,37 ,-,268 
Wisconsin,20 ,15 ,35 ,69 ,60 ,129 ,89 ,75 ,164 ,191 ,101 ,292 ,280 ,176 ,456 ,80 ,29 ,109 ,1 ,566 
Wyoming,24 ,4 ,28 ,40 ,4 ,44 ,64 ,8 ,72 ,36 ,3 ,39 ,100 ,11 ,111 ,19 ,13 ,32 ,2 ,145 
U.S. Total,"1,918 ","2,424 ","4,342 ","3,474 ","4,676 ","8,150 ","5,392 ","7,100 ","12,492 ","8,440 ","6,022 ","14,462 ","13,832 ","13,122 ","26,954 ","3,218 ","2,154 ","5,372 ","2,766 ","35,092 "
Puerto Rico,20 ,24 ,44 ,12 ,16 ,28 ,32 ,40 ,72 ,107 ,76 ,183 ,139 ,116 ,255 ,50 ,4 ,54 ,-,309 
Grand Total,"1,938 ","2,448 ","4,386 ","3,486 ","4,692 ","8,178 ","5,424 ","7,140 ","12,564 ","8,547 ","6,098 ","14,645 ","13,971 ","13,238 ","27,209 ","3,268 ","2,158 ","5,426 ","2,766 ","35,401 "
