Exact age,Male,,,Female,,,0
66,.016878,"79,492",16.93,.011005,"87,171",19.42,0
67,.018348,"78,151",16.21,.012097,"86,211",18.63,0
68,.019969,"76,717",15.51,.013261,"85,168",17.85,0
69,.021766,"75,185",14.81,.014529,"84,039",17.09,0
70,.023840,"73,548",14.13,.015991,"82,818",16.33,0
71,.026162,"71,795",13.47,.017662,"81,494",15.59,0
72,.028625,"69,917",12.81,.019486,"80,054",14.86,0
73,.031204,"67,915",12.18,.021467,"78,494",14.14,0
74,.033997,"65,796",11.55,.023658,"76,809",13.44,0
75,.037200,"63,559",10.94,.026223,"74,992",12.76,0
76,.040898,"61,195",10.34,.029159,"73,026",12.09,0
77,.045040,"58,692",9.76,.032331,"70,896",11.44,0
78,.049664,"56,048",9.20,.035725,"68,604",10.80,0
79,.054844,"53,265",8.66,.039469,"66,153",10.18,0
80,.060801,"50,344",8.13,.043828,"63,542",9.58,0
81,.067509,"47,283",7.62,.048896,"60,757",9.00,0
82,.074779,"44,091",7.14,.054577,"57,786",8.43,0
83,.082589,"40,794",6.68,.060909,"54,633",7.89,0
84,.091135,"37,424",6.23,.068019,"51,305",7.37,0
85,.100680,"34,014",5.81,.076054,"47,815",6.87,0
86,.111444,"30,589",5.40,.085148,"44,179",6.40,0
87,.123571,"27,180",5.02,.095395,"40,417",5.94,0
88,.137126,"23,822",4.65,.106857,"36,561",5.52,0
89,.152092,"20,555",4.31,.119557,"32,655",5.12,0
90,.168426,"17,429",4.00,.133502,"28,751",4.75,0
91,.186063,"14,493",3.70,.148685,"24,912",4.40,0
92,.204925,"11,797",3.44,.165088,"21,208",4.08,0
93,.224931,"9,379",3.19,.182685,"17,707",3.79,0
94,.245995,"7,270",2.97,.201442,"14,472",3.53,0
95,.266884,"5,481",2.78,.220406,"11,557",3.29,0
96,.287218,"4,018",2.61,.239273,"9,010",3.08,0
97,.306593,"2,864",2.46,.257714,"6,854",2.89,0
98,.324599,"1,986",2.33,.275376,"5,088",2.72,0
99,.340829,"1,341",2.21,.291899,"3,687",2.56,0
100,.357870,884,2.09,.309413,"2,610",2.41,0
101,.375764,568,1.98,.327978,"1,803",2.27,0
102,.394552,354,1.88,.347656,"1,211",2.13,0
103,.414280,215,1.77,.368516,790,2.00,0
104,.434993,126,1.68,.390627,499,1.87,0
105,.456743,71,1.58,.414064,304,1.75,0
106,.479580,39,1.49,.438908,178,1.64,0
107,.503559,20,1.40,.465243,100,1.53,0
108,.528737,10,1.32,.493157,53,1.43,0
109,.555174,5,1.24,.522747,27,1.33,0
110,.582933,2,1.16,.554111,13,1.23,0
111,.612080,1,1.09,.587358,6,1.14,0
112,.642683,0,1.02,.622599,2,1.06,0
113,.674818,0,0.95,.659955,1,0.98,0
114,.708559,0,0.89,.699553,0,0.90,0
115,.743986,0,0.82,.741526,0,0.83,0
116,.781186,0,0.76,.781186,0,0.76,0
117,.820245,0,0.71,.820245,0,0.71,0
118,.861257,0,0.65,.861257,0,0.65,0
119,.904320,0,0.60,.904320,0,0.60,0
,,,,,,SOURCES: National Center for Health Statistics; Census Bureau; and Centers for Medicare & Medicaid Services.,0
,,,,,,"NOTE: The period life expectancy at a given age is the average remaining number of years expected prior to death for a person at that exact age, born on January 1, using the mortality rates for 2011 over the course of his or her remaining life.",0
,,,,,,a. Probability of dying within one year.,0
,,,,,,"b. Number of survivors out of 100,000 born alive.",0
,,,,,,"CONTACT: Felicitie Bell (410) 965-3020, Michael Morris (410) 965-3045, or statistics@ssa.gov.",0
